songName,time,lyric,file
逃避没有不好,0:25-0:31,哪段角落能疗伤,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/taobimeiyoubuhao.mp3
who you are,1:12-1:32,"（韩文歌词,不支持）",https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/WhoAreYou.mp3
说好了幸福呢,0:22-0:38,你的对话凌乱着,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shuohaolexingfune.mp3
阳台,（主歌）,祈求星星可听见,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yangtai.mp3
晨昏线,1:14-1:28,我真实的活着,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/chenhunxian.mp3
等不及花开,主歌,爱就像风筝短线飘走的无奈,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dengbujihuakai.mp3
forya,所有美好全部come for you,主歌,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/forya.mp3
一人行,54秒,何妨如一颗星闪过,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yirenxing.mp3
一分一寸,副歌,我纵容你一寸又一寸将我的心贯穿,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yifenyicun.mp3
下一页,副歌,我害怕时间会偷走回忆,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiayiye.mp3
不灵不灵,主歌,一见你双眼呢忘却不了,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/bulingbuling.mp3
不遥远,第二段主歌,你放下背包 你扔掉梦想,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/buyaoyuan.mp3
云边的风筝,副歌,是不是上天 看苦海人间,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yunbiandefengzheng.mp3
人间萤火,副歌,就让所有此刻孤独微笑温暖的光,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/renjianyinghuo.mp3
他只是经过,副歌,他曾说的话有没有兑现,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/tazhishijingguo.mp3
仙儿,主歌,东边不亮西边亮,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xianer.mp3
你不明白,主歌,我没办法像你般洒脱,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/nibumingbai.mp3
你是我的玫瑰花,副歌,你是我的玫瑰 你是我的花,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/nishiwodemeiguihua.mp3
再也没有,副歌,我再也没有对你生气,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zaiyemeiyou.mp3
再等冬天,主歌,让我捡起散落的片段,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zaidengdongtian.mp3
写下寂寞,副歌,走过无人的山谷 写下了一首歌,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiexiajimo.mp3
十二,副歌,我从你而来 某月某天,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shier.mp3
回到夏天,副歌,我多想回到那个夏天,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/huidaoxiatian.mp3
夏夜灯塔,副歌,你在做什么呢 一定会嘲笑我,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiayedengta.mp3
外婆桥,副歌,摇啊摇 十五摇过秋分就是外婆桥,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/waipoqiao.mp3
大雾,副歌,大雾四起 偷偷藏匿,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dawu.mp3
奇妙世界,副歌,我看到不安的少年悬空的双腿坐在城墙,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/qimiaoshijie.mp3
对,副歌,不对怎么说对 道歉也不能分错对,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dui.mp3
小红小绿,副歌,你有一个英雄 昨天小红今天小绿,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiaohongxiaol_.mp3
小胡同,副歌,可我就是痛 就算是在梦中,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiaohutong.mp3
恒星流星,副歌,你是恒星 而我是流星 你注定要走,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/hengxingliuxing.mp3
我愿,副歌,我不愿看到你流泪的眼睛,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/woyuan.mp3
我要的飞翔,副歌,我要的坚强 不是谁的肩膀,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/woyaodefeixiang.mp3
拼图爱,副歌,你靠近听我说 认真带一点幽默,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/pintuai.mp3
拾忆,主歌,翻开日记 整理破碎的心情,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shiyi.mp3
时光溜啊溜,主歌,时光流啊流 我在人海游啊游,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/shiguangliualiu.mp3
春夜坠落,副歌,你的出现像一个意外,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/chunyezhuiluo.mp3
曲奇陷阱,副歌,想给你买个cookie 在引起你的注意,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/quqixianjing.mp3
最渣男主角,主歌,我的天 帅哥在我身边,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zuizhananzhujue.mp3
月亮拥抱我,主歌,你还是一样温柔,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yueliangyongbaowo.mp3
有种,副歌,为什么你不懂 天生与你不同,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/youzhong.mp3
棉花糖,主歌,回忆着初次相遇坐在你身边,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/mianhuatang.mp3
橘子日落,副歌,完成所有心愿,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/juziriluo.mp3
江南雪,副歌,你只隔岸一瞥就窥见,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/jiangnanxue.mp3
海屿你,副歌,我不知为何 疯狂对你执着,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/haiyuni.mp3
清平调,副歌,名花倾国两相欢,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/qingpingdiao.mp3
灰姑娘,副歌,尽情愚弄我吧 我自行回家,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/huiguniang.mp3
烟火,主歌,夜已深了,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yanhuo.mp3
狠心爱我,副歌,让我感受世界冷酷,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/henxinaiwo.mp3
独木,主歌,少年 扶摇直上 揽星月成佳话,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dumu.mp3
白,副歌,我是一只白色的百灵鸟 眼中灯笼撒在湖面上,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/bai.mp3
目民,副歌,你不用说抱歉 也不要再表演,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/mumin.mp3
目眩神晕,副歌,OH!听 这美妙绮丽的旋律 像是邀请爱人踏进舞池里,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/muxuanshenyun.mp3
第八秒,副歌,第七秒忘记你 第八秒又想起 三千个日落替我爱你,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/dibamiao.mp3
算了吧,副歌,霜停在我的眼眸快结成了痂 对着雪人念准备好的情话,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/suanleba.mp3
篡改,主歌,承认的 心痛的 掉眼泪了,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/cuangai.mp3
索拉里斯星,副歌,你的蓝色外套，和你神经质的眼睛 开往索拉里斯星的班车上,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/suolalisixing.mp3
紫荆花盛开,副歌,永远的紫荆花在爱之下 茁壮发芽 阳光中笑开花是暖暖的翩翩启航,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zijinghuashengkai.mp3
萤火星球,副歌,牵着手 将所有情绪照单全收 不用多说 你在我身边就能同频心动,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/yinghuoxingqiu.mp3
该死的泪,副歌,我的一百天 我的一百年,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/gaisidelei.mp3
追不上的风,副歌,风儿吹呀吹落叶随风儿飞 这是你离开的第几回,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/zhuibushangdefeng.mp3
遐想,副歌,太模糊的答案 麻烦的思念 要飞到哪去,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/xiaxiang.mp3
都是你,副歌,全部都是你 脑海里都是你,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/doushini.mp3
门,副歌,怕你忘了我你要忘了我 我们的照片丢在垃圾桶,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/men.mp3
降临,27秒,干涸的泥土已埋藏干年不变的构图,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/jianglin.mp3
隔岸,副歌,就这般望着你,https://singcard-1431583798.cos-website.ap-beijing.myqcloud.com/gean.mp3
